Datetime,open,high,low,close,volume
2023-06-27 09:00:00+09:00,32629.9609375,32689.099609375,32419.669921875,32419.669921875,0
2023-06-27 10:00:00+09:00,32417.0,32440.75,32306.990234375,32437.259765625,0
2023-06-27 11:00:00+09:00,32437.41015625,32482.810546875,32410.5,32446.69921875,0
2023-06-27 12:00:00+09:00,32354.41015625,32407.58984375,32311.44921875,32352.509765625,0
2023-06-27 13:00:00+09:00,32352.1796875,32524.5703125,32342.5,32506.830078125,0
2023-06-27 14:00:00+09:00,32504.51953125,32580.0390625,32489.650390625,32551.150390625,0
2023-06-27 15:00:00+09:00,32534.720703125,32538.330078125,32534.720703125,32538.330078125,0
2023-06-28 09:00:00+09:00,32807.83984375,32885.26171875,32726.51953125,32768.28125,0
2023-06-28 10:00:00+09:00,32770.5390625,32824.03125,32642.869140625,32741.869140625,0
2023-06-28 11:00:00+09:00,32740.41015625,32842.390625,32719.529296875,32842.390625,0
2023-06-28 12:00:00+09:00,32950.5390625,33118.08984375,32950.5390625,33086.98046875,0
2023-06-28 13:00:00+09:00,33085.73046875,33102.078125,33021.640625,33043.62890625,0
2023-06-28 14:00:00+09:00,33043.53125,33172.0390625,33038.0703125,33161.94140625,0
2023-06-28 15:00:00+09:00,33159.78125,33193.98828125,33159.78125,33193.98828125,0
2023-06-29 09:00:00+09:00,33306.83984375,33482.6015625,33280.03125,33424.3203125,0
2023-06-29 10:00:00+09:00,33424.390625,33527.98046875,33384.19140625,33492.921875,0
2023-06-29 11:00:00+09:00,33494.44921875,33513.671875,33264.98046875,33348.48828125,0
2023-06-29 12:00:00+09:00,33305.37890625,33343.171875,33197.6484375,33317.171875,0
2023-06-29 13:00:00+09:00,33318.0703125,33347.33984375,33278.328125,33322.0703125,0
2023-06-29 14:00:00+09:00,33318.2109375,33384.609375,33185.19921875,33229.83984375,0
2023-06-29 15:00:00+09:00,33259.7890625,33259.7890625,33234.140625,33234.140625,0
2023-06-30 09:00:00+09:00,33068.359375,33128.1484375,32918.76953125,32972.23046875,0
2023-06-30 10:00:00+09:00,32972.48046875,33061.51171875,32961.28125,33028.7890625,0
2023-06-30 11:00:00+09:00,33029.28125,33151.12890625,33020.73046875,33058.98828125,0
2023-06-30 12:00:00+09:00,33009.87109375,33073.87890625,32979.9609375,33022.28125,0
2023-06-30 13:00:00+09:00,33024.51953125,33107.109375,32982.640625,33096.8203125,0
2023-06-30 14:00:00+09:00,33097.55859375,33232.890625,33097.55859375,33188.16015625,0
2023-06-30 15:00:00+09:00,33215.7890625,33215.7890625,33189.0390625,33189.0390625,0
2023-07-03 09:00:00+09:00,33517.6015625,33682.01953125,33510.55078125,33677.73046875,0
2023-07-03 10:00:00+09:00,33677.5390625,33738.30078125,33645.421875,33711.5390625,0
2023-07-03 11:00:00+09:00,33706.73046875,33720.37890625,33609.37890625,33704.73046875,0
2023-07-03 12:00:00+09:00,33672.62890625,33756.390625,33639.1484375,33755.55078125,0
2023-07-03 13:00:00+09:00,33755.80859375,33762.80859375,33727.30859375,33742.41015625,0
2023-07-03 14:00:00+09:00,33742.76953125,33758.05859375,33707.76953125,33731.12890625,0
2023-07-03 15:00:00+09:00,33736.01171875,33753.328125,33736.01171875,33753.328125,0
2023-07-04 09:00:00+09:00,33512.26171875,33576.44921875,33399.37109375,33426.3203125,0
2023-07-04 10:00:00+09:00,33422.66015625,33447.140625,33338.78125,33378.390625,0
2023-07-04 11:00:00+09:00,33380.390625,33446.78125,33342.890625,33446.78125,0
2023-07-04 12:00:00+09:00,33412.9296875,33504.25,33412.9296875,33474.23828125,0
2023-07-04 13:00:00+09:00,33475.12109375,33478.46875,33414.80078125,33441.1484375,0
2023-07-04 14:00:00+09:00,33442.01171875,33459.0,33371.609375,33393.3515625,0
2023-07-04 15:00:00+09:00,33404.05078125,33422.51953125,33404.05078125,33422.51953125,0
2023-07-05 09:00:00+09:00,33165.05859375,33308.80859375,33045.48046875,33288.1015625,0
2023-07-05 10:00:00+09:00,33287.078125,33389.21875,33251.94140625,33284.8515625,0
2023-07-05 11:00:00+09:00,33285.55078125,33308.8515625,33215.640625,33303.0,0
2023-07-05 12:00:00+09:00,33318.828125,33379.8984375,33303.859375,33324.3203125,0
2023-07-05 13:00:00+09:00,33325.3203125,33337.0390625,33253.8203125,33262.75,0
2023-07-05 14:00:00+09:00,33266.03125,33339.51953125,33247.28125,33324.80859375,0
2023-07-05 15:00:00+09:00,33317.58984375,33338.69921875,33317.58984375,33338.69921875,0
2023-07-06 09:00:00+09:00,33058.3984375,33079.44921875,32857.94140625,32932.76953125,0
2023-07-06 10:00:00+09:00,32941.28125,33008.921875,32886.12109375,32984.2109375,0
2023-07-06 11:00:00+09:00,32999.05859375,33011.87109375,32923.62890625,32933.19140625,0
2023-07-06 12:00:00+09:00,32786.98828125,32829.7109375,32699.16015625,32730.220703125,0
2023-07-06 13:00:00+09:00,32729.810546875,32815.03125,32637.720703125,32786.91015625,0
2023-07-06 14:00:00+09:00,32786.80859375,32794.37890625,32709.6796875,32772.0390625,0
2023-07-06 15:00:00+09:00,32755.279296875,32773.01953125,32755.279296875,32773.01953125,0
2023-07-07 09:00:00+09:00,32450.640625,32678.580078125,32327.900390625,32666.259765625,0
2023-07-07 10:00:00+09:00,32664.869140625,32711.869140625,32548.130859375,32575.9609375,0
2023-07-07 11:00:00+09:00,32575.029296875,32636.939453125,32561.359375,32618.880859375,0
2023-07-07 12:00:00+09:00,32671.080078125,32730.25,32633.3203125,32655.529296875,0
2023-07-07 13:00:00+09:00,32656.44921875,32659.5,32585.380859375,32608.1796875,0
2023-07-07 14:00:00+09:00,32604.19921875,32656.30078125,32416.2109375,32427.689453125,0
2023-07-07 15:00:00+09:00,32396.970703125,32396.970703125,32388.419921875,32388.419921875,0
2023-07-10 09:00:00+09:00,32393.4609375,32558.98046875,32314.5703125,32382.890625,0
2023-07-10 10:00:00+09:00,32389.380859375,32414.890625,32082.939453125,32120.380859375,0
2023-07-10 11:00:00+09:00,32119.7109375,32218.900390625,32119.3203125,32173.880859375,0
2023-07-10 12:00:00+09:00,32164.369140625,32180.609375,32065.630859375,32133.669921875,0
2023-07-10 13:00:00+09:00,32133.400390625,32402.05078125,32089.189453125,32348.0,0
2023-07-10 14:00:00+09:00,32350.44921875,32383.8203125,32142.560546875,32223.259765625,0
2023-07-10 15:00:00+09:00,32202.0703125,32202.0703125,32189.73046875,32189.73046875,0
2023-07-11 09:00:00+09:00,32434.669921875,32468.69921875,32282.470703125,32439.25,0
2023-07-11 10:00:00+09:00,32439.580078125,32439.580078125,32334.080078125,32357.490234375,0
2023-07-11 11:00:00+09:00,32357.4296875,32358.23046875,32263.130859375,32279.880859375,0
2023-07-11 12:00:00+09:00,32259.140625,32333.970703125,32248.119140625,32298.810546875,0
2023-07-11 13:00:00+09:00,32298.009765625,32301.509765625,32161.55078125,32203.0,0
2023-07-11 14:00:00+09:00,32202.58984375,32279.099609375,32084.419921875,32236.369140625,0
2023-07-11 15:00:00+09:00,32235.4296875,32235.4296875,32203.5703125,32203.5703125,0
2023-07-12 09:00:00+09:00,32280.05078125,32312.029296875,31862.890625,31929.189453125,0
2023-07-12 10:00:00+09:00,31929.23046875,31939.7890625,31791.7109375,31889.119140625,0
2023-07-12 11:00:00+09:00,31887.80078125,31981.990234375,31859.05078125,31957.859375,0
